"cc","Code Insee","Code postal","Arrondissement","Canton","Intercommunalité"
"1","Altorf","67008","67120","Molsheim","Molsheim","C. de c. de la région de Molsheim-Mutzig"
"2","Avolsheim","67016","67120","Molsheim","Molsheim","C. de c. de la région de Molsheim-Mutzig"
"3","Bernardswiller","67031","67210","Sélestat-Erstein","Obernai","C. de c. du Pays de Sainte-Odile"
"4","Bischoffsheim","67045","67870","Molsheim","Rosheim","C. de c. du canton de Rosheim"
"5","Bœrsch","67052","67530","Molsheim","Rosheim","C. de c. du canton de Rosheim"
"6","Dangolsheim","67085","67310","Molsheim","Wasselonne","C. de c. de la Porte du Vignoble"
"7","Dinsheim-sur-Bruche","67098","67190","Molsheim","Molsheim","C. de c. de la région de Molsheim-Mutzig"
"8","Dorlisheim","67101","67120","Molsheim","Molsheim","C. de c. de la région de Molsheim-Mutzig"
"9","Duttlenheim","67112","67120","Molsheim","Molsheim","C. de c. de la région de Molsheim-Mutzig"
"10","Ernolsheim-Bruche","67128","67120","Molsheim","Molsheim","C. de c. de la région de Molsheim-Mutzig"
"11","Flexbourg","67139","67310","Molsheim","Wasselonne","C. de c. de la Porte du Vignoble"
"12","Goxwiller","67164","67210","Sélestat-Erstein","Obernai","C. de c. du Piémont de Barr"
"13","Gresswiller","67168","67190","Molsheim","Molsheim","C. de c. de la région de Molsheim-Mutzig"
"14","Griesheim-près-Molsheim","67172","67870","Molsheim","Rosheim","C. de c. du canton de Rosheim"
"15","Heiligenberg","67188","67190","Molsheim","Molsheim","Sans"
"16","Heiligenstein","67189","67140","Sélestat-Erstein","Barr","C. de c. du Piémont de Barr"
"17","Innenheim","67223","67880","Sélestat-Erstein","Obernai","C. de c. du Pays de Sainte-Odile"
"18","Krautergersheim","67248","67880","Sélestat-Erstein","Obernai","C. de c. du Pays de Sainte-Odile"
"19","Meistratzheim","67286","67210","Sélestat-Erstein","Obernai","C. de c. du Pays de Sainte-Odile"
"20","Mollkirch","67299","67190","Molsheim","Rosheim","C. de c. du canton de Rosheim"
"21","Molsheim","67300","67120","Molsheim (chef-lieu)","Molsheim (chef-lieu)","C. de c. de la région de Molsheim-Mutzig"
"22","Mutzig","67313","67190","Molsheim","Molsheim","C. de c. de la région de Molsheim-Mutzig"
"23","Niedernai","67329","67210","Sélestat-Erstein","Obernai","C. de c. du Pays de Sainte-Odile"
"24","Obernai","67348","67210","Sélestat-Erstein","Obernai (chef-lieu)","C. de c. du Pays de Sainte-Odile"
"25","Ottrott","67368","67530","Molsheim","Rosheim","C. de c. du canton de Rosheim"
"26","Rosenwiller","67410","67560","Molsheim","Rosheim","C. de c. du canton de Rosheim"
"27","Rosheim","67411","67560","Molsheim","Rosheim (chef-lieu)","C. de c. du canton de Rosheim"
"28","Saint-Nabor","67428","67530","Molsheim","Rosheim","C. de c. du canton de Rosheim"
"29","Valff","67504","67210","Sélestat-Erstein","Obernai","C. de c. du Piémont de Barr"
